LOC_ID,LOC_NAME,AUSPICE,STR_NO,STREET,UNIT,PCODE,ward,PHONE,bldg_type,bldgname,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,SUBSIDY,GC_GEOID,EASTING,NORTHING,run_date
1044,Alderwood Action After School,Non Profit Agency,544,HORNER AVE,,M8W 2C2,6,(416) 259-7738,Public Elementary School,Sir Adam Beck School,0,0,60,0,90,150,Y,6735862,617164.21,4828426.9,22OCT13
1045,Children's Village #1 Day Care Centre,Commercial Agency,1050,MARKHAM RD,,M1H 2Y7,38,(416) 438-3355,High Rise Apartment,,10,10,32,12,30,94,Y,6576197,642307.57,4848109.83,22OCT13
1046,Ferncliff Daycare And After School Group,Non Profit Agency,128,FERN AVE,,M6R 1K3,14,(416) 588-1463,Public Elementary School,Ferncliff Public School,0,0,60,0,75,135,Y,8007871,625310.08,4833415.88,22OCT13
1055,Balmy Beach Community Day Care,Non Profit Agency,14,PINE AVE,ROOM 107,M4E 1L6,32,(416) 698-5668,Public Elementary School,Balmy Beach Public School,0,0,24,30,45,99,Y,7667200,637843.29,4837134.99,22OCT13
1059,Mimico Day Care Centre,Commercial Agency,46,MIMICO AVE,,M8V 1R1,6,(416) 255-4748,Commercial Building,Memorial Hall 1916-1918,0,14,24,0,0,38,N,7560936,621713.03,4829839.82,22OCT13
1060,Braeburn Woods Day Care Centre,Non Profit Agency,15,TANDRIDGE CRES,,M9W 2N8,2,(416) 745-9472,Public Elementary School,Braeburn Junior School,0,10,16,16,30,72,Y,1035925,616862.07,4842467.5,22OCT13
1065,Child's Nest Infant Day Care Centre,Non Profit Agency,121,COSBURN AVE,,M4J 2L1,29,(416) 421-6984,House,,10,20,0,0,15,45,Y,19804,633174.61,4838489.26,22OCT13
1067,Martingrove Child Care Centre,Commercial Agency,256,JOHN GARLAND BLVD,131 & 132,M9V 1N8,1,(416) 742-1812,House,,0,15,24,10,15,64,Y,10144867,613460.04,4843101.04,22OCT13
1070,Discovery Place Child Care Centre,Commercial Agency,22,TUXEDO CRT,,M1G 3S3,38,(416) 439-0521,Purpose Built,,10,20,48,20,45,143,Y,14258143,642448.09,4848798.35,22OCT13
1072,Carefree Preschool,Commercial Agency,370,DIXON RD,,M9R 1T2,2,(416) 244-5529,High Rise Apartment,,10,15,72,0,30,127,Y,6125248,616336.98,4838889.57,22OCT13
1079,Eastside Child Care Centre,Non Profit Agency,20,WALDOCK ST,,M1E 2E5,43,(416) 287-0007,Public Elementary School,Eastview Public School,0,0,36,20,0,56,Y,395203,645582.46,4846480.13,22OCT13
1082,Macaulay Child Development - Regent Street,Non Profit Agency,48,REGENT ST,,M6N 3N9,12,(416) 653-8322,Purpose Built,,10,10,26,0,0,46,Y,71048,623303.23,4837365.28,22OCT13
1083,Lori Gardens Centre For Early Learning,Commercial Agency,2405,FINCH AVE W,,M9M 2X2,7,(416) 743-1222,High Rise Apartment,,10,15,38,12,25,100,Y,10340955,617207.21,4844983.37,22OCT13
1086,Network Preschool - Bethany,Non Profit Agency,123,COSBURN AVE,,M4J 2L1,29,(416) 421-6984,House,,0,0,32,0,0,32,Y,19805,633184.23,4838490.84,22OCT13
1091,Eastside Club,Non Profit Agency,100,GALLOWAY RD,,M1E 1W7,43,(416) 281-0262x207,Community/Recreation Centre,,0,0,0,0,45,45,Y,336705,645425.17,4846295.12,22OCT13
1093,Martin Luther Church Day Nursery,Non Profit Agency,5,SUPERIOR AVE,,M8V 2M1,6,(416) 259-2861,House,,0,10,16,0,0,26,Y,1035460,622022.37,4829996.34,22OCT13
1094,Arbor Glen Community Child Care Centre,Non Profit Agency,55,FRESHMEADOW DR,,M2H 3H6,24,(416) 497-4040,Public Elementary School,Arbor Glen Public School,0,0,34,20,30,84,Y,3107754,632239.42,4851804.86,22OCT13
1095,Frankland Day Care Centre,Non Profit Agency,816,LOGAN AVE,,M4K 3E1,30,(416) 463-1413,Public Elementary School,Frankland Community School,0,0,0,20,50,70,Y,7570431,632996.3,4837114.8,22OCT13
1098,Early Adventures Nursery School & Child Care,Commercial Agency,200,MELROSE ST,,M8Y 1B7,6,(416) 251-5151,Public Elementary School,George R Gauld Public School,0,0,34,20,27,81,Y,1018182,621132.57,4830612.34,22OCT13
1101,Beatty Buddies Day Care,Non Profit Agency,55,WOODINGTON AVE,,M4C 3J6,31,(416) 467-8687,Public Elementary School,Earl Beatty Public School,0,0,56,20,45,121,Y,6624483,635263.31,4838147,22OCT13
1103,Selwyn Community Child Care Centre,Non Profit Agency,1,SELWYN AVE,,M4B 3J9,31,(416) 285-9730,Public Elementary School,Selwyn Public School,0,0,20,0,20,40,Y,3259532,636440.76,4840662.25,22OCT13
1104,Mandi Day Care,Non Profit Agency,30,BARRHEAD CRES,,M9W 3Z7,2,(416) 749-8110,Public School (Closed),Mississauga Private School/ Rexdale (Closed),10,15,16,0,30,71,Y,986007,615454.17,4841474.64,22OCT13
1107,Educare Kindergarten - Rathburn,Commercial Agency,18,FOUR SEASONS PL,,M9B 6E7,3,(416) 620-0072,Office Building,Four Seasons Place,0,10,24,0,30,64,Y,13972296,615902.69,4833438.68,22OCT13
1111,Rolph Road Day Care Centre,Non Profit Agency,31,ROLPH RD,,M4G 3M5,26,(416) 421-3862,Public Elementary School,Rolph Road Public School,0,0,0,24,45,69,Y,3244674,631631.71,4839604.03,22OCT13
1115,Trimbee Infant Resource Centre,Public (City Operated) Agency,30,DENARDA ST,,M6M 5C3,11,(416) 392-3705,High Rise Apartment,Trimbee Court,10,10,0,0,0,20,Y,57080,621479.84,4838240.4,22OCT13
1116,Guildwood Child Care,Commercial Agency,3969,KINGSTON RD,,M1J 3H8,43,(416) 261-4476,High Rise Apartment,,10,20,24,8,15,77,Y,3484510,644634.52,4845617.21,22OCT13
1123,Ernie Boccia Creative Child Day Care,Commercial Agency,1,NORTHWESTERN AVE,,M6M 2J7,12,(416) 653-6305,Other,Harold And Grace Baker Centre,10,20,16,0,0,46,Y,69387,623292.71,4839239.72,22OCT13
1125,First Stage - Burnhamthorpe,Non Profit Agency,500,THE EAST MALL,,M9B 2C4,3,(416) 394-7534,Public High School,Burnhamthorpe Collegiate Institute,10,15,16,0,0,41,Y,6765660,615968.03,4833740.84,22OCT13
1127,Fairbank Memorial Day Care Centre,Non Profit Agency,555,HARVIE AVE,,M6E 4M2,17,(416) 656-8675,Public Elementary School,Fairbank Memorial,0,0,16,0,30,46,Y,62504,624464.4,4838568.88,22OCT13
1129,First Stage - West Humber,Non Profit Agency,1675,MARTIN GROVE RD,,M9V 3S3,1,(416) 394-7515,Public High School,West Humber Collegiate Institute,10,15,16,0,0,41,Y,10747541,613808.84,4842736.08,22OCT13
1130,Red Apple Day Care (Overlea),Non Profit Agency,135,OVERLEA BLVD,,M3C 1B3,26,(416) 429-5437,Public High School,Marc Garneau Collegiate Institute,10,10,16,0,0,36,Y,10750672,634131.94,4840675.05,22OCT13
1135,Fraser School Community Day Care,Non Profit Agency,79,MANNING AVE,,M6J 2K6,19,(416) 603-7372,Public Elementary School,Charles G. Fraser Public School,0,10,16,20,0,46,Y,837099,628257.21,4833843.75,22OCT13
1137,Golf Road School Child Care Centre,Non Profit Agency,730,SCARBOROUGH GOLF CLUB RD,,M1G 1H7,38,(416) 289-1061,Public Elementary School,Golf Road Junior Public School,0,10,16,20,20,66,Y,383209,643507.91,4846945.87,22OCT13
1138,McKee McKids Enrichment Centre,Non Profit Agency,35,CHURCH AVE,,M2N 6X6,23,(416) 222-1414,Public Elementary School,McKee Public School,0,0,48,0,60,108,Y,13973429,627863.16,4847788.56,22OCT13
1140,Leaside Day Care Centre,Non Profit Agency,206,LAIRD DR,,M4G 3W4,26,(416) 487-5862,Other,,10,25,70,0,0,105,Y,27258,631772.24,4840863.07,22OCT13
1141,Gold Circle Early Childhood Day Care Centre,Non Profit Agency,25,POYNTER DR,,M9R 1K8,4,(416) 241-2000,Public Elementary School,Westway Junior Public School,0,0,36,20,30,86,Y,1024346,616923.9,4838334.98,22OCT13
1148,Park Lawn Preschool,Non Profit Agency,71,BALLACAINE DR,,M8Y 4B6,5,(416) 236-2974,Public Elementary School,Park Lawn Junior And Middle School,0,0,40,40,30,110,Y,985525,621265.43,4832511.15,22OCT13
1150,George Harvey Child Care Centre,Non Profit Agency,1700,KEELE ST,,M6M 3W5,12,(416) 658-9244,Public High School,George Harvey Collegiate Institute,10,15,16,0,0,41,Y,8152704,623004.73,4837746.74,22OCT13
1157,Children's Circle Of St. Barnabas,Non Profit Agency,361,DANFORTH AVE,,M4K 1P1,30,(416) 461-5151x225,Place of Worship,St. Barnabas Anglican Church,0,15,84,8,60,167,Y,14210230,632803.26,4837125.8,22OCT13
1158,George Syme Day Care Centre,Non Profit Agency,69,PRITCHARD AVE,ATTN: DAY CARE,M6N 1T6,11,(416) 767-4439,Public Elementary School,George Syme Community School,0,0,0,20,0,20,Y,9523611,621630.91,4836022.35,22OCT13
1160,Morningside Children's Centre,Commercial Agency,292,MORNINGSIDE AVE,,M1E 3E7,43,(416) 282-9956,House,,0,15,16,10,0,41,Y,7017610,645824.34,4847940.16,22OCT13
1167,McNicoll Avenue Child Care Program,Non Profit Agency,155,MCNICOLL AVE,,M2H 2C1,24,(416) 499-9743,Public School (Closed),McNicoll Avenue Public School,10,15,24,0,0,49,Y,541973,632072.08,4850628.09,22OCT13
1169,N.Y.A.D. Guildwood,Non Profit Agency,225,LIVINGSTON RD,,M1E 1L8,43,(416) 261-6540,Public Elementary School,Guildwood Junior Public School,0,0,16,20,30,66,Y,4166113,644905.93,4845549.64,22OCT13
1170,Arpi Nursery School,Commercial Agency,39,CARL HALL RD,,M3K 2E2,9,(416) 781-1620,Industrial Building,,10,15,64,24,60,173,Y,30026125,622535.97,4844674.68,22OCT13
1174,Bonaventure Child Care Centre,Non Profit Agency,295,DUFFERIN ST,,M6K 3G2,14,(416) 588-4318,High Rise Apartment,,10,25,32,0,0,67,Y,13501671,626837.81,4832873.63,22OCT13
1180,Children's Primary,Non Profit Agency,177,BEVERLEY ST,,M5T 1Y7,20,(416) 977-1204,Place of Worship,Chinese Presbyterian Church,0,0,44,0,45,89,S,771736,629470.76,4834649.27,22OCT13
1182,Happy Day Child Care Centre,Commercial Agency,676,JANE ST,,M6N 4A7,11,(416) 769-1289,Purpose Built,,0,0,36,0,20,56,Y,9446372,621498.83,4835930.89,22OCT13
1184,Bond Child And Family Development,Non Profit Agency,51,BOND ST,,M5B 1X1,27,(416) 367-8349,Place of Worship,Metropolitan United Church,0,0,32,0,0,32,Y,20230958,630870.69,4834564.11,22OCT13
1190,Humewood House Infant Centre,Non Profit Agency,40,HUMEWOOD DR,,M6C 2W4,21,(416) 651-5657,House,Humewood House,10,0,0,0,0,10,Y,63900,626738.28,4837775.25,22OCT13
1192,N'Sheemaehn,Non Profit Agency,1255,MILITARY TRAIL,,M1C 1A3,44,(416) 287-7624,Purpose Built,University Of Toronto Scarborough Campus,10,10,34,0,0,54,Y,30010394,645774.98,4849438.97,22OCT13
1193,Childspace 1,Non Profit Agency,50,WOODMOUNT AVE,,M4C 3X9,31,(416) 425-7763,Catholic Elementary School,St. Brigid's Catholic School,0,0,0,20,47,67,Y,886268,635637.3,4838258.03,22OCT13
1194,Royal Day Care Centre,Commercial Agency,1737,WESTON RD,,M9N 1V5,11,(416) 249-9115,Purpose Built,,0,10,56,0,39,105,Y,76750,619995.69,4839231.85,22OCT13
1196,Rosalie Hall Infant/Toddler Centre,Non Profit Agency,3020,LAWRENCE AVE E,,M1P 2T7,38,(416) 438-6880x252,Other,,20,20,8,0,0,48,Y,11485084,640987.1,4845995.79,22OCT13
1200,Alpha Day Care,Non Profit Agency,20,BRANT ST,,M5V 2M1,20,(416) 504-3343,Public Elementary School,Alpha Alternative Primary School,0,0,10,0,10,20,Y,3948771,629171.39,4833549.32,22OCT13
1201,Humewood Day Care Centre,Non Profit Agency,15,CHERRYWOOD AVE,,M6C 2X4,21,(416) 658-8886,Public Elementary School,Humewood Community School,0,0,32,60,24,116,Y,55237,626682.03,4838047.46,22OCT13
1204,Rexdale Day Nursery,Non Profit Agency,925,ALBION RD,,M9V 1A6,1,(416) 743-5057,Public School (Closed),Thistletown Multi Service Centre,0,0,48,0,25,73,Y,10985943,615743.05,4843274.62,22OCT13
1205,Sandbox Day Care Centre,Commercial Agency,15,ORTON PARK RD,,M1G 3G3,43,(416) 431-3327,High Rise Apartment,,0,10,38,12,28,88,Y,369553,644431.88,4847137.39,22OCT13
1207,Humber Bay Child Care Centre,Non Profit Agency,50,CLOVERHILL RD,,M8Y 1T3,5,(416) 251-8240,Public Elementary School,Etienne Brule Junior Public School,0,15,24,20,55,114,Y,7940034,621815.14,4832289.16,22OCT13
1211,Humber Child Development Centre,Non Profit Agency,205,HUMBER COLLEGE BLVD,,M9W 5L7,1,(416) 675-6622x4484,Community College/University,Humber College Of Applied Arts And Technology,6,20,52,0,0,78,Y,12387605,612190.55,4842513.6,22OCT13
1213,Avenue Road Nursery School,Commercial Agency,1498,AVENUE RD,,M5N 2J1,16,(416) 783-2773,Place of Worship,St. Ansgar Church,0,30,64,0,0,94,Y,11395014,627589.46,4841999.48,22OCT13
1216,Roseland Day Care Centre,Non Profit Agency,990,JANE ST,,M6N 4E2,11,(416) 763-0068,Public Elementary School,Roseland Public School,0,0,24,20,60,104,Y,9584890,620967.21,4837340.8,22OCT13
1221,Romero Bears Child Care Centre,Non Profit Agency,99,HUMBER BLVD,,M6N 2H4,11,(416) 769-1174,Catholic High School,Archbishop Romero Catholic School,10,10,16,0,0,36,Y,2917611,622441.2,4837268.28,22OCT13
1225,Humber College Day Care Centre,Non Profit Agency,205,HUMBER COLLEGE BLVD,,M9W 5L7,1,(416) 675-6622x4070,Community College/University,Humber College Of Applied Arts And Technology,10,20,24,0,0,54,Y,12387605,612190.55,4842513.6,22OCT13
1229,Lescon Learners Child Care,Non Profit Agency,34,LESCON RD,,M2J 2G6,33,(416) 499-7325,Public Elementary School,Lescon Public School,0,10,24,10,20,64,Y,536699,632158.87,4848620.76,22OCT13
1231,Childspace 2,Non Profit Agency,690,CARLAW AVE,,M4K 3K9,30,(416) 469-0560,Catholic Elementary School,Holy Name Catholic School,0,0,24,0,25,49,Y,780044,633209.65,4837142.39,22OCT13
1232,Dawes Road Centre For Early Learning,Commercial Agency,391,DAWES RD,,M4B 2E6,31,(416) 755-8348,Other,,20,20,40,0,0,80,Y,10365077,637227.06,4839937.17,22OCT13
1235,Silverstone Learning Centre,Commercial Agency,520,SILVERSTONE DR,,M9V 3L5,1,(416) 741-0414,Public Elementary School,Melody Village Public School,0,10,44,0,30,84,Y,10154322,613139.91,4843525.98,22OCT13
1243,Centro Clinton Day Care - Site 2,Non Profit Agency,460,MANNING AVE,,M6G 2V7,19,(416) 537-5841,Public Elementary School,Clinton Public School,0,0,16,0,52,68,Y,837356,627869,4834849.25,22OCT13
1245,Crescent Town Day Care Centre,Commercial Agency,2,THE MARKET PL,,M4C 5M1,31,(416) 691-3979,Community/Recreation Centre,,10,25,32,0,30,97,Y,10986318,637566.75,4839249,22OCT13
1248,Brock Early Learning Centre,Non Profit Agency,93,MARGUERETTA ST,,M6H 3S4,18,(416) 535-3491,Public Elementary School,Brock Avenue Public School,0,15,32,20,30,97,Y,9780839,625960.53,4834302.36,22OCT13
1250,Sunny Faces Day Care Centre - Rivercrest,Non Profit Agency,30,HAREFIELD DR,,M9W 4C9,2,(416) 744-0778,Public Elementary School,Rivercrest Public School,0,0,24,20,45,89,Y,1005812,615195.38,4842625.87,22OCT13
1251,Jubilee Day Care Centre,Commercial Agency,55,EMMETT AVE,,M6M 2E4,11,(416) 248-1112,High Rise Apartment,,0,15,32,0,23,70,Y,7155198,620600.33,4838157.43,22OCT13
1254,Baycrest Child Care Centre,Non Profit Agency,145,BAYCREST AVE,,M6A 1W4,15,(416) 784-1316,Public Elementary School,Baycrest Public School,0,20,48,20,30,118,Y,487550,625290.65,4842462.1,22OCT13
1255,Campus Community Co-Op Day Care Centre,Non Profit Agency,370,HURON ST,,M5S 2G4,20,(416) 946-0875,Purpose Built,,10,15,26,0,0,51,Y,823546,628929.2,4835640.02,22OCT13
1258,Carmelite Day Nursery,Non Profit Agency,108,HARRISON ST,,M6J 2A3,19,(416) 536-5313,Purpose Built,,16,15,92,0,42,165,Y,10864646,627242.89,4834121.55,22OCT13
1261,Silverstone Montessori Day Care,Commercial Agency,350,SILVERSTONE DR,,M9V 3J4,1,(416) 741-9820,Public Elementary School,Clairville Public School,0,0,16,20,30,66,Y,10558804,612849.1,4844599.52,22OCT13
1266,Network Child Care Services - Just Kids Child Care Centre,Non Profit Agency,1695,KEELE ST,,M6M 3W7,12,(416) 653-9944,Place of Worship,York Memorial Church,0,15,52,0,0,67,Y,8232461,623084.67,4837850.99,22OCT13
1267,Plains Road Child Care,Non Profit Agency,520,PLAINS RD,,M4C 2Z1,31,(416) 421-2273,Catholic Elementary School,Canadian Martyrs Catholic School,10,20,32,0,15,77,Y,7794398,635415.39,4839503.64,22OCT13
1271,J.R. Wilcox Day Care Centre,Non Profit Agency,231,AVA RD,,M6C 1X3,21,(416) 656-1781,Public Elementary School,J.R. Wilcox Community School,0,10,24,0,47,81,Y,51261,625996.93,4838957.98,22OCT13
1272,Silverthorn Day Care,Non Profit Agency,2700,EGLINTON AVE W,,M6M 1V1,12,(416) 653-9702,Office Building,York Civic Centre,10,10,24,0,0,44,Y,8492134,622614,4838332.59,22OCT13
1278,Sheppard Square Day Nursery,Commercial Agency,5600,SHEPPARD AVE E,,M1B 2L4,42,(416) 292-3607,High Rise Apartment,Apartment Building,10,15,72,0,30,127,Y,13399814,641874.59,4850393.69,22OCT13
1280,Tiny Treasure Day Care Centre,Commercial Agency,627,BURNHAMTHORPE RD,,M9C 2Y9,3,(416) 622-6443,Place of Worship,Renforth Baptist Church,0,10,48,12,0,70,Y,7515102,615063.19,4833062.11,22OCT13
1285,Kingsview Child Care,Commercial Agency,340,DIXON RD,,M9R 1T1,2,(416) 249-7601,High Rise Apartment,,20,15,68,0,24,127,Y,3587551,616523.09,4838859.76,22OCT13
1287,Terry Tan Child Centre (Bloordale),Non Profit Agency,4258,BLOOR ST W,,M9C 1Z7,3,(416) 621-4822,Place of Worship,Bloordale United Church,0,10,44,0,15,69,Y,5524348,615431.06,4832064.94,22OCT13
1288,A & A Child Care Centre,Non Profit Agency,3380,MIDLAND AVE,2ND FLOOR,M1V 5B5,41,(416) 298-4489,Other,,12,15,56,18,0,101,Y,2834434,637497.39,4851890,22OCT13
1292,Kiddy Village Day Care Centre,Commercial Agency,19,GLEN AGAR DR,,M9B 5L5,3,(416) 621-9178,Public School (Closed),Kipling Grove Public School,0,15,68,0,22,105,Y,8087389,616774.02,4835146.63,22OCT13
1294,Cottingham Child Care Centre,Non Profit Agency,85,BIRCH AVE,,M4V 1E3,22,(416) 966-5939,Public Elementary School,Cottingham Public School,0,0,10,0,20,30,Y,772190,629307.75,4837402.66,22OCT13
1296,A & A Learning Centre School Age,Non Profit Agency,3030,MIDLAND AVE,UNIT 6 & 7,M1S 5C9,41,(416) 321-1570,Other,,0,0,0,0,60,60,Y,5070593,637818.72,4851244.07,22OCT13
1297,West Hill Centre For Early Learning,Commercial Agency,4010,LAWRENCE AVE E,,M1E 2R4,43,(416) 283-4294,High Rise Apartment,,10,15,40,0,0,65,Y,354529,644959.49,4847317.77,22OCT13
1298,B.F. Toronto Centre For Early Childhood Education,Commercial Agency,45,GOLFDOWN DR,,M9W 2H8,2,(416) 746-6542x200,Public Elementary School,The Elms Junior Middle School,0,10,32,20,30,92,Y,1003702,616611.56,4841818.49,22OCT13
1301,Abacus Day Care,Commercial Agency,20,CHICHESTER PL,,M1T 1G6,40,(416) 497-1474,High Rise Apartment,,0,10,24,0,0,34,Y,319578,635041.84,4848286.2,22OCT13
1305,A Child's Place Daycare Centre,Non Profit Agency,10,HOWARTH AVE,,M1R 1H4,37,(416) 755-6381,Place of Worship,St. Jude's Anglican Church,0,0,16,12,30,58,Y,345843,636400.78,4844025.69,22OCT13
1306,Bayview Gardens Day Care Centre,Commercial Agency,3125,BAYVIEW AVE,,M2K 1G2,24,(416) 222-9405,Community/Recreation Centre,Greek Orthodox Community Centre,0,30,24,20,0,74,Y,4807575,629491.08,4848653.2,22OCT13
1309,Tlc - Tender Loving Care (Cross St.),Commercial Agency,44,CROSS ST,,M9N 2B9,11,(416) 248-5401,House,,0,10,16,10,24,60,Y,56769,618755.46,4839940.54,22OCT13
1324,Cedarbrae Infant Day Nursery,Commercial Agency,1375,MIDLAND AVE,,M1P 3B7,37,(416) 751-2358,High Rise Apartment,,30,25,16,0,0,71,Y,363461,639786.05,4845346.85,22OCT13
1327,Catholic Settlement House Day Nursery,Non Profit Agency,131,MC CAUL ST,,M5T 1W3,20,(416) 977-0254,Place of Worship,Catholic Settlement House,0,10,24,0,15,49,Y,20064628,629711.27,4834545.31,22OCT13
1328,Donald C. Macdonald Child Care Centre,Non Profit Agency,116,INDUSTRY ST,,M6M 4L8,12,(416) 769-2328,Other,York Business Opportunities Centre,20,25,16,0,0,61,Y,14072410,621452.42,4838713.29,22OCT13
1335,Blaydon Community Day Care Centre,Non Profit Agency,25,BLAYDON AVE,,M3M 2C9,9,(416) 638-1461,Public Elementary School,Blaydon Public School,0,10,21,0,15,46,Y,490361,621889.72,4843371.42,22OCT13
1336,Vaughan Road Infant & Toddler Centre,Non Profit Agency,529,VAUGHAN RD,,M6C 2R1,15,(416) 658-1874,Public High School,Vaughan Road Collegiate,10,15,24,0,0,49,Y,75474,625973.1,4838521.41,22OCT13
1339,Cedarbrae Day Nurseries (Midland),Commercial Agency,1385,MIDLAND AVE,,M1P 3B8,37,(416) 751-0664,High Rise Apartment,,0,0,40,36,30,106,Y,363462,639765.58,4845418.53,22OCT13
1340,Central Eglinton Childrens' Centre,Non Profit Agency,223,EGLINTON AVE E,,M4P 1L1,22,(416) 440-0383,Public Elementary School,Eglinton Public School,0,15,32,60,90,197,Y,800621,629632.33,4840467.18,22OCT13
1347,Children Of Tomorrow - Pringdale Gardens,Non Profit Agency,1325,DANFORTH RD,,M1J 1G5,38,(416) 261-9893,Public Elementary School,Pringdale Gardens Public School,0,0,32,0,21,53,Y,2642243,641349.61,4844494.46,22OCT13
1348,Brookhaven Child Care,Non Profit Agency,70,BROOKHAVEN DR,,M6M 4N8,12,(416) 249-6587,Public Elementary School,Brookhaven Public School,0,15,24,60,30,129,Y,493354,621195.81,4839709.11,22OCT13
1350,Terry Tan Child Centre (Eatonville),Non Profit Agency,15,ROSSBURN DR,,M9C 2P7,3,(416) 621-9722,Public Elementary School,Eatonville Public School,0,10,52,30,30,122,Y,1028895,615573.21,4832477.18,22OCT13
1351,Birchmount Place Centre For Early Learning,Commercial Agency,2360,BIRCHMOUNT RD,,M1T 2M4,40,(416) 291-0304,High Rise Apartment,,10,15,32,0,24,81,Y,308643,636815.53,4848946.65,22OCT13
1353,Children's World,Commercial Agency,7,ELINOR AVE,,M1R 3H1,37,(416) 757-5935,Place of Worship,Wexford Presbyterian Church,0,0,24,10,24,58,Y,30023962,636825.3,4844711.84,22OCT13
1356,Vincent Massey Day Care & Nursery School,Commercial Agency,68,DAISY AVE,,M8W 1S1,6,(416) 252-3304,Public School (Closed),Vincent Massey Public School,20,30,76,24,30,180,Y,9109582,618775.96,4828033.77,22OCT13
1360,Immanuel Day Care Centre,Non Profit Agency,21,CHANNEL NINE CRT,,M1S 4B5,41,(416) 293-9361,Place of Worship,,0,15,80,11,0,106,Y,3633178,640275.53,4849129.5,22OCT13
1361,Dandylion Childcare Centre,Non Profit Agency,53,DONLANDS AVE,,M4J 3N7,29,(416) 469-0091,Public Elementary School,Wilkinson Public School (Annex),0,0,32,0,60,92,Y,7807349,633989.27,4837679.5,22OCT13
1367,Kiddies Lodge Day Care Centre,Commercial Agency,764,ELLESMERE RD,,M1P 2W4,40,(416) 298-6092,Place of Worship,Members In Christ Assemblies,0,0,16,20,25,61,Y,331433,637867.41,4846967.91,22OCT13
1368,Kimbercroft Day Nursery 1,Commercial Agency,30,KIMBERCROFT CRT,,M1S 4K9,42,(416) 291-1880,High Rise Apartment,,10,30,24,0,0,64,Y,351505,641721.38,4849910.98,22OCT13
1371,Knob Hill Day Nursery,Non Profit Agency,23,GAGE AVE,,M1J 1T3,38,(416) 439-9864,Place of Worship,Knob Hill United Church,0,15,32,10,0,57,Y,336519,640978.16,4845266.17,22OCT13
1372,Central Neighbourhood House,Non Profit Agency,349,ONTARIO ST,,M5A 2V8,28,(416) 925-4363x110,Community/Recreation Centre,Central Neighbourhood House,10,20,16,0,0,46,Y,8566354,631505.92,4835239.21,22OCT13
1373,Calico Saints Child Care Centre,Non Profit Agency,35,CALICO DR,,M3L 1V5,9,(416) 741-8499,Public Elementary School,Calico Public School,0,15,24,20,30,89,Y,495446,620488.57,4843629.13,22OCT13
1374,Palisades Centre For Early Learning,Commercial Agency,15,SAN ROMANOWAY,,M3N 2Y9,8,(416) 663-4431,Community/Recreation Centre,Palisades Recreation Centre,20,15,48,24,30,137,Y,10071744,619446.73,4845965.03,22OCT13
